id,event_ids,title,category,group
04igkOa0KDKz9yfJogEo,FLuzAE5dm4qazOoE4QaF,ควรมีกลุ่มผู้เชี่ยวชาญเป็นส่วนหนึ่งของ สสร. แต่ไม่มีสิทธิ์โหวต (non-voting advisory panel),สสร.,0
1nja4ZhMvSVsjlVvtx9r,FLuzAE5dm4qazOoE4QaF,ทหารต้องไม่มายุ่งกับการร่างรัฐธรรมนูญ,สสร.,1
2rIAoKtf0uRsbMDTZ6kE,FLuzAE5dm4qazOoE4QaF,สสร. ไม่จำเป็นต้องมีตัวแทนเชิงพื้นที่,สสร.,1
30iUR5Bs1u2g842KdF3y,FLuzAE5dm4qazOoE4QaF,"กรณี สสร มาจากพรรคการเมือง ควรให้พรรคการเมือง ""กรอง"" คุณสมบัติให้ด้วย ถือว่าเป็นการเน้นย้ำเจตนารมณ์ และเช็คว่าไม่ได้มีตำแหน่งทางการเมือง",สสร.,1
4CGZkWkBlX9VNSkBJEGI,FLuzAE5dm4qazOoE4QaF,สสร. ต้องมีความหลากหลายของคนที่เข้ามาเป็นสสร.,สสร.,0
4FVZ0ewHQ4KGRiPBoGm1,FLuzAE5dm4qazOoE4QaF,คนที่ได้รับตำแหน่ง สสร. แล้ว ห้ามมาลงสมัคร สส. สว. หรือตำแหน่งทางการเมืองอีก เพื่อหลีกเลี่ยงผลประโยชน์ทับซ้อน,สสร.,1
4aNRcEnl4h9Kz5pxa6ff,FLuzAE5dm4qazOoE4QaF,การมีส่วนร่วมเกี่ยวโยงกับความยั่งยืนของรัฐธรรมนูญ,สสร.,0
59G9i7h4GZtz0ScSAn0C,FLuzAE5dm4qazOoE4QaF,ควรกำหนดให้ สสร. เป็นตำแหน่งเต็มเวลา (Full time),สสร.,0
5rWaEjqgvDdjO8xjUyME,FLuzAE5dm4qazOoE4QaF,ไม่เอาผู้เชี่ยวชาญที่มาโดยตำแหน่ง,สสร.,1
8WtlnkWM0PlR19PBZTR8,FLuzAE5dm4qazOoE4QaF,การเลือกตั้ง สสร. แบบแบ่งเขต ควรแบ่งด้วยพื้นที่จังหวัด,สสร.,0
