category,group,question,phrase
สสร.,0,สสร. ควรมีที่มาและกระบวนการทำงานอย่างไรให้โปร่งใสและหลากหลาย?,ที่มาและการทำงานที่โปร่งใสหลากหลาย
สสร.,1,ควรมีข้อจำกัดหรือคุณสมบัติอย่างไรเพื่อป้องกันผลประโยชน์ทับซ้อนใน สสร.?,การป้องกันผลประโยชน์ทับซ้อนและอิทธิพลทางการเมือง
สวัสดิการ,0,โครงสร้างพื้นฐานและเมืองควรออกแบบอย่างไรให้ทุกคนเข้าถึงได้?,การเข้าถึงโครงสร้างพื้นฐานและอารยสถาปัตยกรรม
สวัสดิการ,1,รัฐควรมีมาตรการอย่างไรเพื่อดูแลผู้สูงอายุและคนวัยเกษียณ?,สวัสดิการผู้สูงอายุและการใช้ชีวิตหลังเกษียณ
สวัสดิการ,2,รัฐควรคุ้มครองความมั่นคงในชีวิตและอาชีพของประชาชนอย่างไร?,การคุ้มครองรายได้และความมั่นคงในอาชีพ
สวัสดิการ,3,สวัสดิการในเรือนจำควรปรับปรุงอย่างไรเพื่อคุณภาพชีวิตผู้ต้องขัง?,สิทธิการเข้าถึงข้อมูลข่าวสารในเรือนจำ
สวัสดิการ,4,รัฐควรสนับสนุนโอกาสในการเรียนรู้และท่องเที่ยวของเยาวชนอย่างไร?,ทุนสนับสนุนการเรียนรู้และประสบการณ์หลังจบการศึกษา
สวัสดิการ,5,รัฐควรสนับสนุนสวัสดิการครอบครัวและการลาคลอดอย่างไร?,สวัสดิการแม่และเด็กและการสร้างสมดุลชีวิต
สวัสดิการ,6,ประชาชนควรได้รับบริการจากโรงพยาบาลรัฐและเอกชนในมาตรฐานใด?,มาตรฐานการเข้าถึงบริการสาธารณสุขที่เท่าเทียม
สวัสดิการ,7,รัฐควรมีแนวทางอย่างไรในการยกระดับคุณภาพชีวิตผู้ยากไร้?,การยกระดับคุณภาพชีวิตกลุ่มเปราะบาง
ฝ่ายนิติบัญญัติ,0,โครงสร้างอำนาจนิติบัญญัติควรเป็นอย่างไรเพื่อการตรวจสอบและถ่วงดุล?,การตรวจสอบถ่วงดุลและจำกัดอำนาจรัฐ
ฝ่ายนิติบัญญัติ,1,บทบาทและที่มาของ สว. และนายกฯ ควรเป็นอย่างไร?,การปฏิรูปที่มาและอำนาจของ สว. และนายกฯ
ฝ่ายตุลาการ,0,กระบวนการยุติธรรมและศาลควรถูกออกแบบอย่างไรเพื่อป้องกันการสืบทอดอำนาจ?,การปฏิรูปศาลและป้องกันการนิรโทษกรรมรัฐประหาร
ฝ่ายตุลาการ,1,มาตรฐานกระบวนการยุติธรรมและการเข้าถึงสิทธิชุมชนควรเป็นอย่างไร?,มาตรฐานยุติธรรมที่เท่าเทียมและสิทธิชุมชน
ฝ่ายบริหาร,0,รัฐธรรมนูญควรเอื้อให้รัฐบาลดำเนินนโยบายและถูกตรวจสอบได้อย่างไร?,ประสิทธิภาพการบริหารและการตรวจสอบโดยประชาชน
ฝ่ายบริหาร,1,ควรมีข้อกำหนดอย่างไรเพื่อป้องกันผลประโยชน์ทับซ้อนของฝ่ายบริหาร?,การป้องกันผลประโยชน์ทับซ้อนในตำแหน่งทางการเมือง
สิทธิเสรีภาพ,0,สิทธิขั้นพื้นฐานของผู้ต้องขังและผู้พ้นโทษควรได้รับการคุ้มครองอย่างไร?,สิทธิและศักดิ์ศรีของผู้ต้องขังและผู้พ้นโทษ
สิทธิเสรีภาพ,1,รัฐควรรับรองสิทธิเสรีภาพขั้นพื้นฐานและความหลากหลายในด้านใดบ้าง?,การรับรองสิทธิเสรีภาพและความหลากหลายขั้นพื้นฐาน
สิทธิเสรีภาพ,2,สิทธิในที่ดินทำกินและแรงงานควรได้รับการคุ้มครองอย่างไร?,ความมั่นคงในที่ดินทำกินและสิทธิแรงงาน
สิทธิเสรีภาพ,3,รัฐธรรมนูญควรเปิดพื้นที่ให้ประชาชนทำตามความฝันได้อย่างไร?,เสรีภาพในการใช้ชีวิตและทำตามความฝัน
สิทธิเสรีภาพ,4,ความเท่าเทียมในการเข้าถึงกระบวนการยุติธรรมและที่อยู่อาศัยควรเป็นอย่างไร?,ความเท่าเทียมในกระบวนการยุติธรรมและปัจจัยพื้นฐาน
สิทธิเสรีภาพ,5,พื้นที่ปลอดภัยในการแสดงความคิดเห็นควรได้รับการคุ้มครองอย่างไร?,เสรีภาพในการแสดงออกและการมีส่วนร่วม
สิทธิเสรีภาพ,6,ศักดิ์ศรีความเป็นมนุษย์และความหลากหลายควรได้รับการเคารพอย่างไร?,การเคารพศักดิ์ศรีความเป็นมนุษย์และความหลากหลาย
สิทธิเสรีภาพ,7,เสียงของเด็กและเยาวชนควรมีบทบาทอย่างไรในสังคม?,การรับฟังเสียงของเด็กและเยาวชน
แรงงาน,0,สิทธิและการคุ้มครองแรงงานในทุกมิติควรเป็นอย่างไร?,การคุ้มครองสิทธิและสวัสดิการแรงงาน
แรงงาน,1,รัฐควรสนับสนุนการประกอบอาชีพของผู้พ้นโทษอย่างไร?,การสร้างโอกาสทางอาชีพหลังพ้นโทษ
ความมั่นคง,0,รัฐธรรมนูญควรสร้างความมั่นคงของประเทศในมิติใดบ้าง?,ความมั่นคงทางการเมืองและเศรษฐกิจที่ยั่งยืน
ความมั่นคง,1,บทบาทของกองทัพควรเป็นอย่างไรในระบอบประชาธิปไตย?,การปฏิรูปกองทัพให้อยู่ภายใต้รัฐบาลพลเรือน
การปกครองส่วนท้องถิ่น,0,การกระจายอำนาจสู่ท้องถิ่นควรมีทิศทางอย่างไร?,การกระจายอำนาจและลดบทบาทส่วนกลาง
